"Início dos relatórios","Término dos relatórios","Nome do anúncio",Idade,Alcance,Impressões,"Cliques (todos)","Engajamento com a Página","Valor usado (BRL)"
2023-03-30,2023-03-30,"Novo anúncio de Reconhecimento",25-34,15032,15560,43,18,44.97
2022-10-20,2022-10-20,ACHIFADO,18-24,13063,13063,13,1397,29.27
2022-10-20,2022-10-20,ACHIFADO,25-34,12608,13248,12,1542,31.61
2023-03-30,2023-03-30,"Novo anúncio de Reconhecimento",18-24,8992,9574,21,7,20.13
2023-06-12,2023-06-12,AD1,25-34,8753,10521,12,3,11.78
2023-06-13,2023-06-13,AD1,25-34,7548,8501,6,6,10.34
2023-06-15,2023-06-15,AD1,25-34,7303,8419,10,1,11.925622
2023-06-12,2023-06-12,AD1,18-24,7197,8998,8,4,9.12
2023-03-30,2023-03-30,"Novo anúncio de Reconhecimento",35-44,6900,6900,46,18,25.65
2023-06-19,2023-06-19,AD1,25-34,6520,7305,13,10,11.01
2023-06-09,2023-06-09,AD1,25-34,6380,6850,12,9,11.25
2023-06-14,2023-06-14,AD1,25-34,6284,7392,12,4,10.05
2023-06-22,2023-06-22,AD1,25-34,6172,7090,10,5,10.29
2023-06-13,2023-06-13,AD1,18-24,6012,7316,6,6,8.77
2023-06-15,2023-06-15,AD1,18-24,5518,6632,10,5,9.276595
2023-06-22,2023-06-22,AD1,18-24,5484,6473,6,6,8.87
2023-06-14,2023-06-14,AD1,18-24,5332,6222,6,3,7.94
2023-06-19,2023-06-19,AD1,18-24,4708,5149,11,5,8.07
2023-06-16,2023-06-16,AD1,25-34,4675,5235,5,,8.413354
2022-10-20,2022-10-20,ACHIFADO,35-44,4512,4710,2,650,11.08
2023-02-12,2023-02-12,"BOX CASAL",13-17,4509,4509,5,453,3.72
2023-06-09,2023-06-09,AD1,18-24,4072,4543,10,5,6.66
2023-06-07,2023-06-07,AD1,25-34,3980,4639,3,1,5.15
2023-06-07,2023-06-07,AD1,18-24,3930,4600,1,1,5.03
2022-10-19,2022-10-19,ACHIFADO,18-24,3916,4127,4,2,6.99
2023-06-08,2023-06-08,AD1,25-34,3914,4331,3,1,4.87
2023-06-16,2023-06-16,AD1,18-24,3705,4316,0,1,6.632495
2023-06-08,2023-06-08,AD1,18-24,3630,4091,1,2,4.55
2023-06-27,2023-06-27,AD1,25-34,3602,4165,12,8,11.51
2023-06-12,2023-06-12,AD1,35-44,3336,4049,11,3,4.1
2022-10-19,2022-10-19,ACHIFADO,25-34,3010,3019,4,,4.88
2023-06-13,2023-06-13,AD1,35-44,2952,3316,1,1,4
2023-06-15,2023-06-15,AD1,35-44,2897,3397,2,3,4.838224
2023-06-14,2023-06-14,AD1,35-44,2780,3158,6,2,4.08
2023-06-19,2023-06-19,AD1,35-44,2776,2923,6,1,4.68
2023-06-22,2023-06-22,AD1,35-44,2648,3005,6,,4.28
2023-06-09,2023-06-09,AD1,35-44,2456,2697,7,8,4.63
2023-06-27,2023-06-27,AD1,18-24,2342,2636,6,2,6.26
2023-09-18,2023-09-18,ACEVICHADO,25-34,2104,3709,11,11,12.13
2023-09-19,2023-09-19,ACEVICHADO,25-34,2097,3495,7,4,13.14
2023-06-29,2023-06-29,AD1,25-34,1810,1990,9,7,9.25
2023-03-30,2023-03-30,"Novo anúncio de Reconhecimento",45-54,1804,1804,12,6,6.96
2023-06-16,2023-06-16,AD1,35-44,1701,2027,5,1,3.186293
2022-10-20,2022-10-20,ACHIFADO,45-54,1680,1740,3,276,4.5
2023-06-27,2023-06-27,AD1,35-44,1510,1701,3,6,5.7
2023-06-07,2023-06-07,AD1,35-44,1480,1646,1,,1.77
2023-02-12,2023-02-12,ACHIFADO,13-17,5998,7014,13,1466,2.88
2023-02-13,2023-02-13,PASSION,25-34,2191,2248,8,1351,8.61
2023-06-08,2023-06-08,AD1,35-44,1346,1472,0,,1.46
2023-02-13,2023-02-13,PASSION,25-34,2129,2204,8,1302,8.65
2023-09-02,2023-09-02,ACEVICHADO,25-34,1297,1857,8,5,3.180492
2023-09-04,2023-09-04,ACEVICHADO,25-34,1295,2098,2,2,3.49
2023-09-01,2023-09-01,ACEVICHADO,25-34,1226,1866,3,3,3.19
2023-09-05,2023-09-05,ACEVICHADO,25-34,1168,1972,0,,3.01
2023-02-14,2023-02-14,PASSION,25-34,1907,1953,10,1162,9.86
2023-09-16,2023-09-16,ACEVICHADO,25-34,1157,1803,3,2,3.92
2023-09-21,2023-09-21,ACEVICHADO,25-34,1156,1892,4,3,4.68
2023-08-31,2023-08-31,ACEVICHADO,25-34,1124,1669,3,3,3.38
2023-08-29,2023-08-29,ACEVICHADO,25-34,1106,1696,0,2,2.82
2023-09-06,2023-09-06,ACEVICHADO,25-34,1100,1769,3,4,2.98
2023-09-17,2023-09-17,ACEVICHADO,25-34,1082,1928,1,1,3.18
2023-09-22,2023-09-22,ACEVICHADO,25-34,1077,1604,3,1,4.51
2023-09-20,2023-09-20,"50 MIX",25-34,1076,2160,3,5,5.55
2023-09-26,2023-09-26,ACEVICHADO,25-34,1007,1630,4,3,6.34
2023-08-27,2023-08-27,ACEVICHADO,25-34,997,1917,1,3,2.87
2023-09-21,2023-09-21,"50 MIX",25-34,978,1744,3,3,4.63
2023-02-12,2023-02-12,PASSION,13-17,4620,5156,9,968,1.75
2023-09-20,2023-09-20,ACEVICHADO,25-34,961,1620,3,2,4.15
2023-09-30,2023-09-30,ACEVICHADO,25-34,960,1509,1,1,3.44
2022-10-20,2022-10-20,ACHIFADO,55-64,954,954,0,196,2.52
2022-10-19,2022-10-19,ACHIFADO,35-44,946,1014,0,,1.79
2023-09-19,2023-09-19,ACEVICHADO,35-44,941,1566,5,3,5.98
2023-09-18,2023-09-18,ACEVICHADO,35-44,939,1602,3,1,5.42
2023-02-14,2023-02-14,PASSION,25-34,1555,1590,6,915,8
2023-09-15,2023-09-15,ACEVICHADO,25-34,910,1127,2,6,3.464949
2023-06-29,2023-06-29,AD1,18-24,903,979,1,4,3.47
2023-06-12,2023-06-12,AD1,45-54,896,1142,1,2,1.19
2023-09-27,2023-09-27,ACEVICHADO,25-34,885,1418,0,,3.27
2023-02-12,2023-02-12,"BOX CASAL",18-24,884,928,0,51,1.37
2023-06-29,2023-06-29,AD1,35-44,879,948,1,,6.51
2023-08-30,2023-08-30,ACEVICHADO,25-34,874,1405,1,1,2.62
2023-06-13,2023-06-13,AD1,45-54,860,995,0,,1.31
2023-10-04,2023-10-04,ACEVICHADO,25-34,848,1398,4,3,4.04
2023-09-29,2023-09-29,ACEVICHADO,25-34,831,1295,0,,3.07
2023-09-28,2023-09-28,ACEVICHADO,25-34,830,1328,0,,3.27
2023-06-15,2023-06-15,AD1,45-54,824,976,1,2,1.19956
2023-10-06,2023-10-06,ACEVICHADO,25-34,804,1388,0,,3.23
2023-06-14,2023-06-14,AD1,45-54,792,958,3,2,1.27
