fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAIS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCION ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAIS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA DE SALIDA DE ALMACEN
26-01-2021,IMPORTACION A CONSUMO,073-2021-10-00066365,00000023,1,1.39186E+12,ECU-ITALCOL S.A.,COLOMBIA,COLOMBIA,,CARRETERA,TULCAN,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADORA DE PALETAS MZPT 6300 2X40HP,MATELTECO,NUEVA,10,1,NUMERO DE UNIDADES,0,85511,8028,170.82,93709.82,METALTECO SAS,TRANSPORTE INTERNACIONAL DE CARGA JCORARNAVI S. A.,COLOMBIA,0,SUAREZ GALARZA RICARDO DIEGO,,CEC202177840028,CO001018,05908903-TRANSPORTE Y COMERCIO INTERNACIONAL - TRANSCOMERINTER CIA. LTDA.,8720,AFORO-AFORO AUTOMATICO,CLL HERNAN GONZALES DE SAA NUMERO N 26-68 VIA YUYUCOCHA,18991230,20210126,20210126,20210127,M1215,"MEZCLADORA DE PALETAS MZPT 6300 2X40HP, FLAUTAS PARA INYECCION DE LIQUIDOS EN LA MEZCLADORA DESMORONADOR DE HARINAS",MEZCLADORA DE PALETAS MZPT 6300 2X40HP,MATELTECO,0,MZPT6300,85511,20210126,20210126,DAP,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2021778400280001,18991230
18-01-2021,IMPORTACION A CONSUMO,028-2021-10-00040564,00000226,5,0991366849001,INDUSTRIAL SURINDU S.A.,BRAZIL,BRAZIL,ITAPOA,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar","MOLINO CON REPUESTOS, SELLO, SELLADOS, TAMIZ Y CINTURON",NETZSCH,NUEVA,11,2,NUMERO DE UNIDADES,0,161287,4121.22,36.39,165444.61,NETZSCH Ind stria e Com rcio de,HAMBURG SÜD ECUADOR S.A.,BRAZIL,2,CONSORCIO VILLACRESES & PINZON S.A.,JOGELA,CEC2021HLCU0202,SUDU60SSZ173659X,05907400-INARPI S.A.,3900,AFORO-AFORO AUTOMATICO,AV. SIMON BOLIVAR S/N VIA NAYON  Quito - Ecuador,20201217,20210119,20210118,20210119,956428717,"MOLINO CON REPUESTOS, SELLO, SELLADOS, TAMIZ Y CINTURON","MOLINO CON REPUESTOS, SELLO, SELLADOS, TAMIZ Y CINTURON",NETZSCH,2020,60,80643.5,20210118,20210118,CFR,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2021HLCU02022095,20210121
27-01-2021,IMPORTACION A CONSUMO,028-2021-10-00070000,00000287,1,0992758791001,KARASTE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AEREADORES,DIVA,NUEVA,1960,70,NUMERO DE UNIDADES,0,93660,14116,0,107776,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,2,JIMENEZ QUIROZ BORIS LENIN,RDO CONCORD,CEC2021WHLU5444,031A562243,05907400-INARPI S.A.,29750,AFORO-AFORO AUTOMATICO,"RUC 0992758791001 AVENIDA LAS MONJAS 302 Y CALLE  TERCERA, URDESA GUAYAQUIL - ECUADOR",20201226,20210127,20210127,20210128,JH201123SA49-GB,AIREADORES PARA LA INDUSTRIA CAMARONERA,PRODUCTO,DIVA,2020,DIVA- JDLN16,1338,20210127,20210127,CIF,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2021WHLU54440083,20210202
07-01-2021,IMPORTACION A CONSUMO,028-2021-10-00015273,00000939,1,0993250236001,ALFAGUYCA S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADORES,DIVA,NUEVA,2043,70,NUMERO DE UNIDADES,0,103040,8993.25,0,112033.25,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2,TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.,KOTA CEPAT,CEC2020PCIU0016,NGJH00566000,05907400-INARPI S.A.,27700,AFORO-AFORO AUTOMATICO,KM. 12.5 VIA A DAULE,20201127,20201230,20210107,20210107,JH201030AG1,MODEL DIVA- JDLN16 MAIN PARTS 1 PC MAXIMUM OUTPUT 18HP CONDENSING DIES,PRODUCTO TERMINADO,DIVA,0,DIVA- JDLN16,1472,20210107,20210107,CIF,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2020PCIU00160010,20210111
07-01-2021,IMPORTACION A CONSUMO,028-2021-10-00014969,00003482,1,0992758791001,KARASTE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADORES,DIVA,NUEVA,1982,70,NUMERO DE UNIDADES,0,93660,10077,0,103737,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2,JIMENEZ QUIROZ BORIS LENIN,CAP ANDREAS,CEC2020WHLU5438,NGJH00573500,05907400-INARPI S.A.,4719.56,AFORO-AFORO AUTOMATICO,AVENIDA LAS MONJAS 302 Y CALLE TERCERA,20201203,20210106,20210107,20210107,JH201030SA48-GB,AIREADORES PARA LA INDUSTRIA CAMARONERA,PRODUCTO,DIVA,2020,DIVA-D16,1338,20210107,20210107,CIF,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2020WHLU54382022,20210112
22-01-2021,IMPORTACION A CONSUMO,055-2021-10-00055285,02000161,12,1.79131E+12,ESPECTROCROM CIA. LTDA.,UNITED STATES,UNITED STATES,MIAMI INTERNATIONAL AIRPORT,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",Mezclador Vortex,UNITECH,NUEVA,6,1,NUMERO DE UNIDADES,0,324.29,6.03,1.48,331.8,UNITECH,TRANSOCEANICA COMPAÑIA LIMITADA,UNITED STATES,0,CORADUANAS-ECU CIA.LTDA.,N540LA,CEC2021LA030026,04541437572,-,1.05,AFORO-AFORO AUTOMATICO,DE LOS NOPALES N-36-140 Y AVE LOS ALECHOS,20210120,20210120,20210122,20210122,37786,Mezclador Vortex,Mezclador Vortex,UNITECH,2021,02-215-414,324.29,20210122,20210122,FOB,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2021LA0300260001,20210125
15-01-2021,IMPORTACION A CONSUMO,028-2021-10-00037242,00000004,14,0101121895001,CELLERI PESANTEZ ALFONSO PATRICIO,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MOLINO COLOIDAL,WENZHOU QIANGZHONG MACHINERY TECHNOLOGY CO LTD,NUEVA,397,1,NUMERO DE UNIDADES,0,1950,247.31,7.31,2204.62,HUANGYAN ZHEDONG RUBBER AUXILIARY IMP AND EXP CO LTD,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,1,ALMEIDA RODRIGUEZ ALEJANDRA VIRGINIA,WAN HAI 612,CEC2020WHLU5442,YMLUC232085857,05907400-INARPI S.A.,1.15,AFORO-AFORO AUTOMATICO,SANTO DOMINGO DE LOS TSACHILAS / SANTO DOMINGO / CHIGUILPE / KM 4 Y MEDIO S/N Y VIA A QUITO,20201211,20210112,20210115,20210115,QZJ20112601C,MOLINO COLOIDAL,REACTIVOS QUIMICOS Y MAQUINARIA PARA AGRICULTURA,WENZHOU QIANGZHONG MACHINERY TECHNOLOGY CO LTD,2020,N/A,1950,20210115,20210115,FOB,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2020WHLU54420117,20210120
21-01-2021,IMPORTACION A CONSUMO,028-2021-10-00053332,02005704,2,0990000360001,LABORATORIOS TOFIS S.A.,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MAQUINA MEZCLADORA,SM,NUEVA,6,1,NUMERO DE UNIDADES,0,4480,388.47,0,4868.47,YANGZHOU NUOYA MACHINERY CO   LTD,CMA-CGM ECUADOR S.A.,CHINA,0,WCA WLADIMIR COKA ASOCIADOS S.A.,CMA CGM TUTICORIN,CEC2021CMAU0001,YSGSHAGYE21701CSFE,05907400-INARPI S.A.,316.8,AFORO-AFORO AUTOMATICO,AV C J AROSEMENA KM2 - ECUADOR,20201207,20210113,20210121,20210121,20201021G,HD-200 THREE DIMENSIONAL MIXING MACHINE,MAQUINA MEZCLADORA,SM,2020,HD-200,4480,20210121,20210121,CIF,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,,0,CEC2021CMAU000100440003,20210122
18-01-2021,IMPORTACION A CONSUMO,028-2021-10-00040564,00000226,3,0991366849001,INDUSTRIAL SURINDU S.A.,BRAZIL,BRAZIL,ITAPOA,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR CON VALVULAS Y ACCESORIOS,NETZSCH,NUEVA,11,2,NUMERO DE UNIDADES,0,41000,1047.64,9.25,42056.89,NETZSCH Ind stria e Com rcio de,HAMBURG SÜD ECUADOR S.A.,BRAZIL,2,CONSORCIO VILLACRESES & PINZON S.A.,JOGELA,CEC2021HLCU0202,SUDU60SSZ173659X,05907400-INARPI S.A.,1650,AFORO-AFORO AUTOMATICO,AV. SIMON BOLIVAR S/N VIA NAYON  Quito - Ecuador,20201217,20210119,20210118,20210119,956428717,MEZCLADOR CON VALVULAS Y ACCESORIOS,MEZCLADOR CON VALVULAS Y ACCESORIOS,NETZSCH,2020,MN500,20500,20210118,20210118,CFR,ZZ OTROS LIBERADORES DIRECTOS,,0,CEC2021HLCU02022095,20210121
19-01-2021,IMPORTACION A CONSUMO,055-2021-10-00046268,00000129,16,1.79048E+12,ROCHE ECUADOR S.A.,JAPAN,UNITED STATES,MULLEN AIRPORT,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",BEADS MIXER MECHANISM UNIT,ROCHE,NUEVA,1,2,NUMERO DE UNIDADES,0,4719.13,390.42,69.14,5178.69,ROCHE DIAGNOSTICS,AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA.,UNITED STATES,0,GONZALEZ SANTAMARIA ANDREA NATALIA,HP2110,CEC2021D5001323,000000006058945373,-,2.83,AFORO-AFORO AUTOMATICO,AV SIMON BOLIVAR N/A  VIA A NAYON EDIFICIO: TORRE 5 PISO: 2,20210112,20210115,20210119,20210120,6074901420,APARATO MECANICO PARA LABORATORIO,APARATO MECANICO PARA LABORATORIO,ROCHE,2020,7851006001,2359.57,20210119,20210119,DAP,DHL EXPRESS ECUADOR S.A.,,0,CEC2021D500132300040032,20210120
