fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAÍS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCIÓN ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAÍS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA SALIDA,TOTAL AJUSTES,TOTAL OTROS AJUSTES
05-01-2022,IMPORTACION A CONSUMO,028-2022-10-00009295,01000214,179,1.09179E+12,NEGOCIOS CESCH CIA. LTDA.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR MAGNETICO DE LABORATORIO,S/M,NUEVA,621,1,NUMERO DE UNIDADES,0,357.09,55.62,2.06,414.78,JUNHAO IMPORT  EXPORT COLTD,AGENCIA NAVIERA EXPRESS NETWORK OFFICE EXNETSA S.A.,CHINA,1,01777825-NOVACUS SERVICIOS ADUANEROS S.A.,VALOR,CEC2022HLCU0403,ONEYNB1IADY90400,05907400-INARPI S.A.,60.34,AFORO-AFORO FISICO INTRUSIVO,IMBABURA  ANTONIO ANTE  ATUNTAQUI  AVENIDA LEORO FRANCO 1642 Y JORGE REGALADO,20211128,20220102,20220105,20220105,BKEC210916NCCL2453,AGITADOR MAGNETICO DE LABORATORIO,AGITADOR MAGNETICO DE LABORATORIO,S/M,2021,LLUMILUISA-02,357.09,20220105,20220106,EXW,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2022HLCU04031062,20220109,,
03-01-2022,IMPORTACION A CONSUMO,055-2022-10-00003744,02106953,4,0992401494001,MEDIBAC-INC S.A.S.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR,LW SCIENTIFIC,NUEVA,5,12,NUMERO DE UNIDADES,0,2520,163.4,18.79,2702.19,LW SCIENTIFIC INC,TAMPA CARGO S.A.,UNITED STATES,0,01777857-SIATIADUANAS S.A.,N331QT,CEC2021QT000416,631687,-,19.1,AFORO-AFORO DOCUMENTAL,AV. LAS AGUAS 1111 Y LAURELES GUAYAQUIL GUAYAS,20211229,20211229,20220103,20220104,2302412,MIXER BLOOD ROCKER 16 TUBES,MEZCLADOR,LW SCIENTIFIC,2021,MXL-BLF7-16T1,210,20220103,20220104,FOB,SIATILOGISTICS S.A.,-,0,CEC2021QT00041600020004,20220104,,
03-01-2022,IMPORTACION A CONSUMO,055-2022-10-00003744,02106953,5,0992401494001,MEDIBAC-INC S.A.S.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",ROTADOR,LW SCIENTIFIC,NUEVA,5,4,NUMERO DE UNIDADES,0,1096,71.06,8.17,1175.23,LW SCIENTIFIC INC,TAMPA CARGO S.A.,UNITED STATES,0,01777857-SIATIADUANAS S.A.,N331QT,CEC2021QT000416,631687,-,6.37,AFORO-AFORO DOCUMENTAL,AV. LAS AGUAS 1111 Y LAURELES GUAYAQUIL GUAYAS,20211229,20211229,20220103,20220104,2302412,ROTATOR VARIABLE SPEED DIGITAL,ROTADOR,LW SCIENTIFIC,2021,RTL-BLVD-24T3C,274,20220103,20220104,FOB,SIATILOGISTICS S.A.,-,0,CEC2021QT00041600020004,20220104,,
27-01-2022,IMPORTACION A CONSUMO,028-2022-10-00083835,00000328,1,0992758791001,KARASTE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AEREADOR ELECTRICO COMPLETO,DIVA,NUEVA,2737,170,NUMERO DE UNIDADES,0,86428,138.83,0,86428,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,2,01777779-JIMENEZ QUIROZ BORIS LENIN,CAP ANDREAS,CEC2021WHLU5498,031B594627,05907400-INARPI S.A.,21686.36,AFORO-AFORO AUTOMATICO,"RUC 0992758791001 AVENIDA LAS MONJAS 302 Y CALLE  TERCERA, URDESA GUAYAQUIL - ECUADOR",20211219,20220125,20220127,20220127,JH211027CA18-GB,PARTE PARA AEREADORES (INDUSTRIA CAMARONERA),PRODUCTO,DIVA,2022,DIVA-D15-18S,508.4,20220127,20220127,CIF,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2021WHLU54980064,20220202,1,27171.58
03-01-2022,IMPORTACION A CONSUMO,028-2022-10-00003121,01000001,4,0190167488001,SOLUCIONES PARA HOTELERIA Y GASTRONOMIA EQUINDECA CIA. LTDA.,UNITED STATES,UNITED STATES,MIAMI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",TRITURADOR QUE INCLUYE ACCESORIOS DE USO COMERCIAL EMERSON,EMERSON,NUEVA,80,2,NUMERO DE UNIDADES,0,4601.13,205.47,11.52,4818.12,LOGIPLUS INC,CITIKOLD S.A.,UNITED STATES,0,01908246-GONZALEZ CABRERA NARDO DOSITEO,HANSA HORNEBURG,CEC2022SMLU0001,HBOL161742,05909025-CONTECON GUAYAQUIL S.A.,190.16,AFORO-AFORO DOCUMENTAL,MARISCAL LAMAR 24-205 Y AV. DE LAS AMERICAS,20211224,20220101,20220103,20220104,21/19889,TRITURADOR QUE INCLUYE ACCESORIOS DE USO COMERCIAL EMERSON,TRITURADOR QUE INCLUYE ACCESORIOS DE USO COMERCIAL EMERSON,EMERSON,0,SS200-27,2300.57,20220103,20220104,FOB,KRYSTAL LOGISTICS ECUADOR KRYSLOGIC C. LTDA.,-,0,CEC2022SMLU000100265312,20220105,,
11-01-2022,IMPORTACION A CONSUMO,028-2022-10-00029984,00000086,1,1.79317E+12,JHON & DAVID BIOTECHNOLOGY J&D-BIOTECH S.A.S.,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MAQUINA AUTOMATICO PARA ODF,SIN MARCA,NUEVA,10,1,NUMERO DE UNIDADES,0,15070,0,200.25,15270.25,SHANGHAI ALIGNED MACHINERY,CMA-CGM ECUADOR S.A.,CHINA,1,01777840-SASET CUSTOMS & SERVICES SA CIA.LTDA.,CMA CGM ALASKA,CEC2021CMAU0158,CNRX020922,05907400-INARPI S.A.,2379.72,AFORO-AFORO DOCUMENTAL,JUAN BARREZUETA OE1-141 LT8 Y ANTONIO CASTILLO.,20211206,20220106,20220111,20220112,20QSN1107,AUTO ODF MAKING MACHINE,MAQUINA AUTOMATICO PARA ODF,SIN MARCA,0,SIN MODELO,15070,20220111,20220113,CFR,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2021CMAU01580030,18991230,1,4955.32
11-01-2022,IMPORTACION A CONSUMO,028-2022-10-00029984,00000086,7,1.79317E+12,JHON & DAVID BIOTECHNOLOGY J&D-BIOTECH S.A.S.,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MOLINO COLOIDAL,SIN MARCA,NUEVA,10,1,NUMERO DE UNIDADES,0,1230,0.01,16.34,1246.34,SHANGHAI ALIGNED MACHINERY,CMA-CGM ECUADOR S.A.,CHINA,1,01777840-SASET CUSTOMS & SERVICES SA CIA.LTDA.,CMA CGM ALASKA,CEC2021CMAU0158,CNRX020922,05907400-INARPI S.A.,194.23,AFORO-AFORO DOCUMENTAL,JUAN BARREZUETA OE1-141 LT8 Y ANTONIO CASTILLO.,20211206,20220106,20220111,20220112,20QSN1107,COLLOIDAL MILL,MOLINO COLOIDAL,SIN MARCA,0,SIN MODELO,1230,20220111,20220113,CFR,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC2021CMAU01580030,18991230,1,404.44
14-01-2022,IMPORTACION A CONSUMO,055-2022-10-00039582,00000645,2,1.79258E+12,CANNANDES S.A.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR DE LABORATORIO CON FONDO CONICO,SIN MARCA,NUEVA,2,1,NUMERO DE UNIDADES,0,2950,36.57,26.87,3013.44,TRANS EXPRESS INC,"UNITED PARCEL SERVICE, CO.",UNITED STATES,0,01777794-ASTET AGENTES DE ADUANA CIA. LTDA.,N314UP,CEC20225X550967,40603915682,-,18.33,AFORO-AFORO FISICO INTRUSIVO,DISTRITO METROPOLITANO / AV. GONZALEZ SUAREZ N32-90 Y JACINTO BEJARANO,20220112,20220112,20220114,20220117,1963,MEZCLADOR DE LABORATORIO CON FONDO CONICO,25 L CONE BOTTOM STORAGE MIXING TANK,SIN MARCA,0,ISM TNK-25L 11042021,2950,20220114,20220118,FOB,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC20225X5509670009,20220119,,
14-01-2022,IMPORTACION A CONSUMO,055-2022-10-00039582,00000645,4,1.79258E+12,CANNANDES S.A.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR DE PLACA CALEFACTORA,SIN MARCA,NUEVA,2,1,NUMERO DE UNIDADES,0,950,36.57,26.87,1013.44,TRANS EXPRESS INC,"UNITED PARCEL SERVICE, CO.",UNITED STATES,0,01777794-ASTET AGENTES DE ADUANA CIA. LTDA.,N314UP,CEC20225X550967,40603915682,-,18.33,AFORO-AFORO FISICO INTRUSIVO,DISTRITO METROPOLITANO / AV. GONZALEZ SUAREZ N32-90 Y JACINTO BEJARANO,20220112,20220112,20220114,20220117,1963,AGITADOR DE PLACA CALEFACTORA,MAGNETING STIRRER WITH HOTPLATE,SIN MARCA,0,STPL-2500-120,950,20220114,20220118,FOB,ZZ OTROS LIBERADORES DIRECTOS,-,0,CEC20225X5509670009,20220119,,
25-01-2022,IMPORTACION A CONSUMO,055-2022-10-00074286,00000154,17,1.70787E+12,VENEGAS OLMEDO JUAN GENARO,MEXICO,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR PARA LABORATORIO,CORNING INCORPORATED,NUEVA,4,2,NUMERO DE UNIDADES,0,394.6,43.98,3.95,442.53,HEATHROW SCIENTIFIC LLC,TAMPA CARGO S.A.,UNITED STATES,0,01906248-CORDOVA MOYA HERMEL ESTUARDO,N331QT,CEC2022QT000443,635522,-,14,AFORO-AFORO FISICO INTRUSIVO,HEATHROW SCIENTIFIC LLC,20220121,20220121,20220125,20220125,3369377347,USO LABORATORIO,ACCESORIOS DE LABORATORIO,CORNING INCORPORATED,0,S0200,197.3,20220125,20220126,FCA,SIATILOGISTICS S.A.,-,0,CEC2022QT00044300080008,20220127,,
