fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAIS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCION ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAIS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA DE SALIDA DE ALMACEN,PAÍS DE ORIGEN,DESCRIPCIÓN ARANCELARIA,PAÍS DE EMBARQUE,FECHA SALIDA,TOTAL AJUSTES,TOTAL OTROS AJUSTES
2021-01-26,IMPORTACION A CONSUMO,073-2021-10-00066365,23.0,1.0,1391860000000.0,ECU-ITALCOL S.A.,COLOMBIA,COLOMBIA,,CARRETERA,TULCAN,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADORA DE PALETAS MZPT 6300 2X40HP,MATELTECO,NUEVA,10.0,1.0,NUMERO DE UNIDADES,0.0,85511.0,8028.0,170.82,93709.82,METALTECO SAS,TRANSPORTE INTERNACIONAL DE CARGA JCORARNAVI S. A.,COLOMBIA,0.0,SUAREZ GALARZA RICARDO DIEGO,,CEC202177840028,CO001018,05908903-TRANSPORTE Y COMERCIO INTERNACIONAL - TRANSCOMERINTER CIA. LTDA.,8720.0,AFORO-AFORO AUTOMATICO,CLL HERNAN GONZALES DE SAA NUMERO N 26-68 VIA YUYUCOCHA,18991230.0,20210126.0,20210126.0,20210127.0,M1215,"MEZCLADORA DE PALETAS MZPT 6300 2X40HP, FLAUTAS PARA INYECCION DE LIQUIDOS EN LA MEZCLADORA DESMORONADOR DE HARINAS",MEZCLADORA DE PALETAS MZPT 6300 2X40HP,MATELTECO,0.0,MZPT6300,85511.0,20210126.0,20210126.0,DAP,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021778400280001,18991230.0,,,,,,
2021-01-18,IMPORTACION A CONSUMO,028-2021-10-00040564,226.0,5.0,991366849001.0,INDUSTRIAL SURINDU S.A.,BRAZIL,BRAZIL,ITAPOA,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar","MOLINO CON REPUESTOS, SELLO, SELLADOS, TAMIZ Y CINTURON",NETZSCH,NUEVA,11.0,2.0,NUMERO DE UNIDADES,0.0,161287.0,4121.22,36.39,165444.61,NETZSCH Ind stria e Com rcio de,HAMBURG SÜD ECUADOR S.A.,BRAZIL,2.0,CONSORCIO VILLACRESES & PINZON S.A.,JOGELA,CEC2021HLCU0202,SUDU60SSZ173659X,05907400-INARPI S.A.,3900.0,AFORO-AFORO AUTOMATICO,AV. SIMON BOLIVAR S/N VIA NAYON  Quito - Ecuador,20201217.0,20210119.0,20210118.0,20210119.0,956428717,"MOLINO CON REPUESTOS, SELLO, SELLADOS, TAMIZ Y CINTURON","MOLINO CON REPUESTOS, SELLO, SELLADOS, TAMIZ Y CINTURON",NETZSCH,2020.0,60,80643.5,20210118.0,20210118.0,CFR,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021HLCU02022095,20210121.0,,,,,,
2021-01-27,IMPORTACION A CONSUMO,028-2021-10-00070000,287.0,1.0,992758791001.0,KARASTE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AEREADORES,DIVA,NUEVA,1960.0,70.0,NUMERO DE UNIDADES,0.0,93660.0,14116.0,0.0,107776.0,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,2.0,JIMENEZ QUIROZ BORIS LENIN,RDO CONCORD,CEC2021WHLU5444,031A562243,05907400-INARPI S.A.,29750.0,AFORO-AFORO AUTOMATICO,"RUC 0992758791001 AVENIDA LAS MONJAS 302 Y CALLE  TERCERA, URDESA GUAYAQUIL - ECUADOR",20201226.0,20210127.0,20210127.0,20210128.0,JH201123SA49-GB,AIREADORES PARA LA INDUSTRIA CAMARONERA,PRODUCTO,DIVA,2020.0,DIVA- JDLN16,1338.0,20210127.0,20210127.0,CIF,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021WHLU54440083,20210202.0,,,,,,
2021-01-07,IMPORTACION A CONSUMO,028-2021-10-00015273,939.0,1.0,993250236001.0,ALFAGUYCA S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADORES,DIVA,NUEVA,2043.0,70.0,NUMERO DE UNIDADES,0.0,103040.0,8993.25,0.0,112033.25,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2.0,TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.,KOTA CEPAT,CEC2020PCIU0016,NGJH00566000,05907400-INARPI S.A.,27700.0,AFORO-AFORO AUTOMATICO,KM. 12.5 VIA A DAULE,20201127.0,20201230.0,20210107.0,20210107.0,JH201030AG1,MODEL DIVA- JDLN16 MAIN PARTS 1 PC MAXIMUM OUTPUT 18HP CONDENSING DIES,PRODUCTO TERMINADO,DIVA,0.0,DIVA- JDLN16,1472.0,20210107.0,20210107.0,CIF,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2020PCIU00160010,20210111.0,,,,,,
2021-01-07,IMPORTACION A CONSUMO,028-2021-10-00014969,3482.0,1.0,992758791001.0,KARASTE S.A.,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AIREADORES,DIVA,NUEVA,1982.0,70.0,NUMERO DE UNIDADES,0.0,93660.0,10077.0,0.0,103737.0,CHA TAIZHOU JINHU MECHANICAL & ELECTRICAL CO LTD,BROOM-ECUADOR S.A.,CHINA,2.0,JIMENEZ QUIROZ BORIS LENIN,CAP ANDREAS,CEC2020WHLU5438,NGJH00573500,05907400-INARPI S.A.,4719.56,AFORO-AFORO AUTOMATICO,AVENIDA LAS MONJAS 302 Y CALLE TERCERA,20201203.0,20210106.0,20210107.0,20210107.0,JH201030SA48-GB,AIREADORES PARA LA INDUSTRIA CAMARONERA,PRODUCTO,DIVA,2020.0,DIVA-D16,1338.0,20210107.0,20210107.0,CIF,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2020WHLU54382022,20210112.0,,,,,,
2021-01-22,IMPORTACION A CONSUMO,055-2021-10-00055285,2000161.0,12.0,1791310000000.0,ESPECTROCROM CIA. LTDA.,UNITED STATES,UNITED STATES,MIAMI INTERNATIONAL AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",Mezclador Vortex,UNITECH,NUEVA,6.0,1.0,NUMERO DE UNIDADES,0.0,324.29,6.03,1.48,331.8,UNITECH,TRANSOCEANICA COMPAÑIA LIMITADA,UNITED STATES,0.0,CORADUANAS-ECU CIA.LTDA.,N540LA,CEC2021LA030026,04541437572,-,1.05,AFORO-AFORO AUTOMATICO,DE LOS NOPALES N-36-140 Y AVE LOS ALECHOS,20210120.0,20210120.0,20210122.0,20210122.0,37786,Mezclador Vortex,Mezclador Vortex,UNITECH,2021.0,02-215-414,324.29,20210122.0,20210122.0,FOB,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021LA0300260001,20210125.0,,,,,,
2021-01-15,IMPORTACION A CONSUMO,028-2021-10-00037242,4.0,14.0,101121895001.0,CELLERI PESANTEZ ALFONSO PATRICIO,CHINA,CHINA,NINGBO,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MOLINO COLOIDAL,WENZHOU QIANGZHONG MACHINERY TECHNOLOGY CO LTD,NUEVA,397.0,1.0,NUMERO DE UNIDADES,0.0,1950.0,247.31,7.31,2204.62,HUANGYAN ZHEDONG RUBBER AUXILIARY IMP AND EXP CO LTD,AGENCIA MARITIMA GLOBAL MARGLOBAL SA,CHINA,1.0,ALMEIDA RODRIGUEZ ALEJANDRA VIRGINIA,WAN HAI 612,CEC2020WHLU5442,YMLUC232085857,05907400-INARPI S.A.,1.15,AFORO-AFORO AUTOMATICO,SANTO DOMINGO DE LOS TSACHILAS / SANTO DOMINGO / CHIGUILPE / KM 4 Y MEDIO S/N Y VIA A QUITO,20201211.0,20210112.0,20210115.0,20210115.0,QZJ20112601C,MOLINO COLOIDAL,REACTIVOS QUIMICOS Y MAQUINARIA PARA AGRICULTURA,WENZHOU QIANGZHONG MACHINERY TECHNOLOGY CO LTD,2020.0,,1950.0,20210115.0,20210115.0,FOB,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2020WHLU54420117,20210120.0,,,,,,
2021-01-21,IMPORTACION A CONSUMO,028-2021-10-00053332,2005704.0,2.0,990000360001.0,LABORATORIOS TOFIS S.A.,CHINA,CHINA,SHANGHAI,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MAQUINA MEZCLADORA,SM,NUEVA,6.0,1.0,NUMERO DE UNIDADES,0.0,4480.0,388.47,0.0,4868.47,YANGZHOU NUOYA MACHINERY CO   LTD,CMA-CGM ECUADOR S.A.,CHINA,0.0,WCA WLADIMIR COKA ASOCIADOS S.A.,CMA CGM TUTICORIN,CEC2021CMAU0001,YSGSHAGYE21701CSFE,05907400-INARPI S.A.,316.8,AFORO-AFORO AUTOMATICO,AV C J AROSEMENA KM2 - ECUADOR,20201207.0,20210113.0,20210121.0,20210121.0,20201021G,HD-200 THREE DIMENSIONAL MIXING MACHINE,MAQUINA MEZCLADORA,SM,2020.0,HD-200,4480.0,20210121.0,20210121.0,CIF,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,,0.0,CEC2021CMAU000100440003,20210122.0,,,,,,
2021-01-18,IMPORTACION A CONSUMO,028-2021-10-00040564,226.0,3.0,991366849001.0,INDUSTRIAL SURINDU S.A.,BRAZIL,BRAZIL,ITAPOA,MARITIMO,GUAYAQUIL MARITIMO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR CON VALVULAS Y ACCESORIOS,NETZSCH,NUEVA,11.0,2.0,NUMERO DE UNIDADES,0.0,41000.0,1047.64,9.25,42056.89,NETZSCH Ind stria e Com rcio de,HAMBURG SÜD ECUADOR S.A.,BRAZIL,2.0,CONSORCIO VILLACRESES & PINZON S.A.,JOGELA,CEC2021HLCU0202,SUDU60SSZ173659X,05907400-INARPI S.A.,1650.0,AFORO-AFORO AUTOMATICO,AV. SIMON BOLIVAR S/N VIA NAYON  Quito - Ecuador,20201217.0,20210119.0,20210118.0,20210119.0,956428717,MEZCLADOR CON VALVULAS Y ACCESORIOS,MEZCLADOR CON VALVULAS Y ACCESORIOS,NETZSCH,2020.0,MN500,20500.0,20210118.0,20210118.0,CFR,ZZ OTROS LIBERADORES DIRECTOS,,0.0,CEC2021HLCU02022095,20210121.0,,,,,,
2021-01-19,IMPORTACION A CONSUMO,055-2021-10-00046268,129.0,16.0,1790480000000.0,ROCHE ECUADOR S.A.,JAPAN,UNITED STATES,MULLEN AIRPORT,AEREA,QUITO,8479820000.0,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",BEADS MIXER MECHANISM UNIT,ROCHE,NUEVA,1.0,2.0,NUMERO DE UNIDADES,0.0,4719.13,390.42,69.14,5178.69,ROCHE DIAGNOSTICS,AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA.,UNITED STATES,0.0,GONZALEZ SANTAMARIA ANDREA NATALIA,HP2110,CEC2021D5001323,000000006058945373,-,2.83,AFORO-AFORO AUTOMATICO,AV SIMON BOLIVAR N/A  VIA A NAYON EDIFICIO: TORRE 5 PISO: 2,20210112.0,20210115.0,20210119.0,20210120.0,6074901420,APARATO MECANICO PARA LABORATORIO,APARATO MECANICO PARA LABORATORIO,ROCHE,2020.0,7851006001,2359.57,20210119.0,20210119.0,DAP,DHL EXPRESS ECUADOR S.A.,,0.0,CEC2021D500132300040032,20210120.0,,,,,,
